City;Count;Average;Min;Max
Wrocław;78;1472.1406410256411;399.0;1799.0
Warszawa;74;1482.0675675675675;50.0;2300.0
Kraków;32;1487.9375;400.0;2745.0
Poznań;26;1744.9615384615386;1150.0;3849.0
Gdańsk;16;1412.3125;500.0;1900.0
Łódź;15;1403.7333333333333;1000.0;1600.0
Katowice;15;1372.6666666666667;1000.0;1600.0
Szczecin;11;1467.090909090909;1000.0;1849.0
Radom;8;1471.0;1000.0;1900.0
Lublin;8;1763.25;550.0;3599.0
Bielsko-Biała;8;1599.875;1399.0;1850.0
Kielce;7;1439.7142857142858;1200.0;1650.0
Gdynia;7;1378.142857142857;1000.0;1800.0
Bydgoszcz;6;1333.1666666666667;900.0;1550.0
Zawiercie;5;1618.0;1610.0;1630.0
Tychy;5;1415.6;990.0;1799.0
Sochaczew;5;1420.0;1200.0;1500.0
Kalisz;5;1540.0;1500.0;1700.0
Środa Wielkopolska;4;1387.0;1200.0;1599.0
Toruń;4;1562.25;999.0;2600.0
Tarnów;4;1749.75;1599.0;1800.0
Pruszków;4;1382.5;1200.0;1580.0
Gniezno;4;1599.75;1599.0;1600.0
Wągrowiec;3;1100.0;1100.0;1100.0
Rzeszów;3;1715.6666666666667;1299.0;2249.0
Rumia;3;1350.0;1200.0;1450.0
Piła;3;1596.3333333333333;1300.0;1999.0
Opole;3;926.6666666666666;800.0;990.0
Olsztyn;3;1533.3333333333333;1400.0;1600.0
Legionowo;3;1423.3333333333333;1100.0;1590.0
Krosno;3;1500.0;1300.0;1900.0
Koszalin;3;1483.0;1400.0;1600.0
Kalwaria Zebrzydowska;3;1455.6666666666667;1369.0;1499.0
Jaworzno;3;1166.3333333333333;950.0;1299.0
Grudziądz;3;1123.3333333333333;870.0;1400.0
Grodzisk Mazowiecki;3;1413.3333333333333;1100.0;1580.0
Gliwice;3;1016.6666666666666;850.0;1150.0
Częstochowa;3;1516.0;1250.0;1899.0
Bochnia;3;1649.3333333333333;1599.0;1699.0
Zielona Góra;2;1424.5;1250.0;1599.0
Wejherowo;2;1899.5;1899.0;1900.0
Wałbrzych;2;1597.0;1595.0;1599.0
Tomaszów Lubelski;2;1694.5;1600.0;1789.0
Suwałki;2;1400.0;1400.0;1400.0
Sucha Beskidzka;2;1274.5;850.0;1699.0
Starogard Gdański;2;1250.0;1200.0;1300.0
Sosnowiec;2;2229.0;1559.0;2899.0
Sopot;2;1300.0;1250.0;1350.0
Raszyn;2;1249.5;1200.0;1299.0
Puławy;2;1749.5;1699.0;1800.0
Polkowice;2;1299.5;1199.0;1400.0
Pleszew;2;1329.5;1190.0;1469.0
Otwock;2;1580.0;1580.0;1580.0
Ostrów Wielkopolski;2;1449.995;1299.99;1600.0
Ostrowiec Świętokrzyski;2;1249.5;900.0;1599.0
Oleśnica;2;1524.5;1450.0;1599.0
Nowy Sącz;2;1849.5;1599.0;2100.0
Mosina;2;1424.0;1399.0;1449.0
Mińsk Mazowiecki;2;1300.0;1000.0;1600.0
Legnica;2;1649.5;1600.0;1699.0
Kwidzyn;2;1425.0;1400.0;1450.0
Kraczkowa;2;1600.0;1560.0;1640.0
Kołobrzeg;2;1250.0;1200.0;1300.0
Kozienice;2;1449.5;1299.0;1600.0
Konin;2;1715.0;1590.0;1840.0
Jelenia Góra;2;1600.0;1350.0;1850.0
Jastrzębie-Zdrój;2;1499.5;1400.0;1599.0
Jarosław;2;1400.0;1300.0;1500.0
Góra;2;1399.0;1399.0;1399.0
Gostyń;2;1000.0;1000.0;1000.0
Bielawa;2;1225.0;900.0;1550.0
Białystok;2;1350.0;1300.0;1400.0
Żyrardów;1;1050.0;1050.0;1050.0
Żuromin;1;1500.0;1500.0;1500.0
Świętochłowice;1;1400.0;1400.0;1400.0
Świdnica;1;2399.0;2399.0;2399.0
Śrem;1;1599.0;1599.0;1599.0
Łomianki;1;1300.0;1300.0;1300.0
Złotów;1;1400.0;1400.0;1400.0
Ziębice;1;1450.0;1450.0;1450.0
Zduńska Wola;1;1690.0;1690.0;1690.0
Zbąszyń;1;1300.0;1300.0;1300.0
Zaścianki;1;1900.0;1900.0;1900.0
Zamość;1;910.0;910.0;910.0
Zakopane;1;1599.0;1599.0;1599.0
Zagórze;1;1450.0;1450.0;1450.0
Włocławek;1;1450.0;1450.0;1450.0
Wólka;1;1550.0;1550.0;1550.0
Września;1;1139.0;1139.0;1139.0
Wolsztyn;1;1100.0;1100.0;1100.0
Wodzisław Śląski;1;1350.0;1350.0;1350.0
Wilga;1;1100.0;1100.0;1100.0
Wierzbica;1;1499.0;1499.0;1499.0
Wieluń;1;1500.0;1500.0;1500.0
Wielgolas;1;1499.0;1499.0;1499.0
Unin Kolonia;1;1400.0;1400.0;1400.0
