Title;Price;City;Link
iPhone X 64GB SPACE GRAY • GWAR 12 msc • DARMOWA wysyłka • FAKTURA;1549.0;Wrocław;"https://www.olx.pl/oferta/iphone-x-64gb-space-gray-gwar-12-msc-darmowa-wysylka-faktura-CID99-IDJOsTy.html#4f414ee40f;promoted"
iPhone XS 10 S 64GB;990.0;Tychy;"https://www.olx.pl/oferta/iphone-xs-10-s-64gb-CID99-IDJOmFf.html#4f414ee40f;promoted"
iPhone X Silver 64GB;1550.0;Bielsko-Biała;"https://www.olx.pl/oferta/iphone-x-silver-64gb-CID99-IDJMEqk.html#4f414ee40f;promoted"
APPLE IPHONE X | 64/256GB | 2 kolory | GWAR 24 MSC | BATERIA 100%;1599.0;Poznań;"https://www.olx.pl/oferta/apple-iphone-x-64-256gb-2-kolory-gwar-24-msc-bateria-100-CID99-IDIKOry.html#4f414ee40f;promoted"
Iphone X 64GB Space grey/Silver Szary/Srebrny Sklep Warszawa;1599.0;Warszawa;"https://www.olx.pl/oferta/iphone-x-64gb-space-grey-silver-szary-srebrny-sklep-warszawa-CID99-IDCnGgC.html#4f414ee40f;promoted"
Iphone X 64 GB;1350.0;Szklarska Poręba;https://www.olx.pl/oferta/iphone-x-64-gb-CID99-IDJOXaA.html#4f414ee40f
Apple iPhone X 64GB - Space Gray;1399.0;Częstochowa;https://www.olx.pl/oferta/apple-iphone-x-64gb-space-gray-CID99-IDIztn5.html#4f414ee40f
iPhone X 64gb;1600.0;Koszalin;https://www.olx.pl/oferta/iphone-x-64gb-CID99-IDJOUAq.html#4f414ee40f
Apple iphone x 64gb white Polecam !;1570.0;Kraków;https://www.olx.pl/oferta/apple-iphone-x-64gb-white-polecam-CID99-IDJOUnf.html#4f414ee40f
Iphone X 64gb;1100.0;Legionowo;https://www.olx.pl/oferta/iphone-x-64gb-CID99-IDJOT1W.html#4f414ee40f
iPhone X 64gb CZARNY;1000.0;Gostyń;https://www.olx.pl/oferta/iphone-x-64gb-czarny-CID99-IDJOSBi.html#4f414ee40f
IPhone X , bez wad. 64GB czarny;1100.0;Warszawa;https://www.olx.pl/oferta/iphone-x-bez-wad-64gb-czarny-CID99-IDJOSse.html#4f414ee40f
Iphone X 64gb silver-white;1100.0;Wilga;https://www.olx.pl/oferta/iphone-x-64gb-silver-white-CID99-IDJDoHP.html#4f414ee40f
Apple iPhone 6s Space Gray 64GB jak nowy + 4x etui;490.0;Skierdy;https://www.olx.pl/oferta/apple-iphone-6s-space-gray-64gb-jak-nowy-4x-etui-CID99-IDJOQKY.html#4f414ee40f
Iphone x 64 GB space grey idealny + 7 etui;1250.0;Gdańsk;https://www.olx.pl/oferta/iphone-x-64-gb-space-grey-idealny-7-etui-CID99-IDJOQIn.html#4f414ee40f
Smartfon Apple iPhone X - 64 GB - Space grey;1599.0;Łódź;https://www.olx.pl/oferta/smartfon-apple-iphone-x-64-gb-space-grey-CID99-IDJCYYJ.html#4f414ee40f
Apple Iphone X (64GB) SILVER / stan bardzo dobry;1100.0;Mikołów;https://www.olx.pl/oferta/apple-iphone-x-64gb-silver-stan-bardzo-dobry-CID99-IDIS6jr.html#4f414ee40f
iPhone X 64GB , stan idealny, bateria 98 % oryginalny zestaw + etui;1600.0;Warszawa;"https://www.olx.pl/oferta/iphone-x-64gb-stan-idealny-bateria-98-oryginalny-zestaw-etui-CID99-IDJxzs7.html#4f414ee40f;promoted"
Iphone X 64gb czarny black z calym zestawem w stanie idealnym;1150.0;Jabłonna;https://www.olx.pl/oferta/iphone-x-64gb-czarny-black-z-calym-zestawem-w-stanie-idealnym-CID99-IDJDtMw.html#4f414ee40f
Iphone X 64gb w kolorze silver/bialy z zestawem stan bardzo dobry;1140.0;Konstancin-Jeziorna;https://www.olx.pl/oferta/iphone-x-64gb-w-kolorze-silver-bialy-z-zestawem-stan-bardzo-dobry-CID99-IDJN9Kd.html#4f414ee40f
Apple iphone X 64 Gb czarny idealny stan pelen komplet;1450.0;Kwidzyn;https://www.olx.pl/oferta/apple-iphone-x-64-gb-czarny-idealny-stan-pelen-komplet-CID99-IDJDIYo.html#4f414ee40f
Iphone X 64gb;1500.0;Gdańsk;https://www.olx.pl/oferta/iphone-x-64gb-CID99-IDJOKiB.html#4f414ee40f
iPhone X 64gb silver;1300.0;Poznań;https://www.olx.pl/oferta/iphone-x-64gb-silver-CID99-IDJOJy8.html#4f414ee40f
IPhone X 64GB kolor Space Gray;1500.0;Miechów;https://www.olx.pl/oferta/iphone-x-64gb-kolor-space-gray-CID99-IDIwBUm.html#4f414ee40f
iPhone X 64GB BIAŁY;1200.0;Łódź;https://www.olx.pl/oferta/iphone-x-64gb-bialy-CID99-IDJOJ7o.html#4f414ee40f
