City;Count;Average;Min;Max
Katowice;87;638.7589655172413;49.0;3500.0
Mogilno;47;321.70212765957444;40.0;4000.0
Wsola;26;150.5;17.0;450.0
Nowy Sącz;26;85.38461538461539;24.0;399.0
Wschowa;18;373.1666666666667;49.0;600.0
Strzelin;15;73.22733333333333;25.07;288.64
Pruszcz Gdański;15;179.15666666666667;41.4;391.0
Góra;13;192.30769230769232;30.0;350.0
Zamość;11;2251.818181818182;50.0;22600.0
Poznań;11;11143.545454545454;30.0;42400.0
Kosztowo;11;3635.3636363636365;2999.0;4999.0
Gaj Wielki;11;308.1809090909091;50.0;800.0
Suwałki;10;2004.0;1649.0;2499.0
Stare Babice;9;111.42444444444445;39.08;288.64
Krzywiń;9;105.44444444444444;49.0;250.0
Łódź;8;4456.0;250.0;26500.0
Warszawa;8;14068.375;250.0;39300.0
Dormowo;8;306.25;250.0;450.0
Żory;6;9000.166666666666;19.0;26900.0
Tomaszów Lubelski;6;446.6666666666667;80.0;800.0
Sierakowice;6;599.0;599.0;599.0
Ostrów Wielkopolski;6;3765.0;60.0;22000.0
Lubin;6;411.6666666666667;246.0;649.0
Kraków;6;8183.0;150.0;28500.0
Ujazd;5;134.8;29.0;390.0
Bydgoszcz;5;18556.0;180.0;29000.0
Tychy;4;14937.5;200.0;29500.0
Rybnik;4;6462.5;100.0;24900.0
Przeźmierowo;4;218.75;98.0;489.0
Otmuchów;4;135.0;70.0;250.0
Nowy Tomyśl;4;875.0;700.0;1000.0
Jasienica;4;95.0;50.0;180.0
Janikowo;4;315.0;40.0;500.0
Złoty Stok;3;66.66666666666667;50.0;100.0
Zwoleń;3;75.0;30.0;125.0
Zduńska Wola;3;400.0;400.0;400.0
Zabierzów;3;21900.0;21900.0;21900.0
Wrocław;3;27666.666666666668;17500.0;37900.0
Tymienica Stara;3;100.0;50.0;150.0
Sieraków;3;56.333333333333336;40.0;89.0
Radom;3;151.66666666666666;50.0;350.0
Międzychód;3;233.33333333333334;20.0;650.0
Milicz;3;6466.666666666667;700.0;18000.0
Mielec;3;16760.0;1280.0;24500.0
Legnica;3;226.66666666666666;180.0;250.0
Kwilcz;3;899.6666666666666;350.0;1999.0
Kunów;3;650.0;250.0;1200.0
Koziegłowy;3;23900.0;23900.0;23900.0
Jemielno;3;96.66666666666667;80.0;130.0
Gliwice;3;8276.666666666666;30.0;24700.0
Żychlin;2;560.0;560.0;560.0
Żukowo;2;225.0;50.0;400.0
Zblewo;2;25900.0;25900.0;25900.0
Wieliczka;2;199.5;100.0;299.0
Sztum;2;365.0;250.0;480.0
Starokrzepice;2;60.0;50.0;70.0
Skoczów;2;122.0;95.0;149.0
Rudawa;2;129.0;99.0;159.0
Pszczew;2;57.5;45.0;70.0
Piła;2;424.5;150.0;699.0
Ostróda;2;92.5;35.0;150.0
Ligota;2;749.0;699.0;799.0
Kielce;2;980.0;980.0;980.0
Kamionna;2;100.0;100.0;100.0
Harklowa;2;21000.0;21000.0;21000.0
Górno;2;1499.0;399.0;2599.0
Gostynin;2;214.5;29.0;400.0
Gniewkowo;2;100.0;80.0;120.0
Dąbrowa Górnicza;2;425.0;110.0;740.0
Drezdenko;2;300.0;300.0;300.0
Chełmno;2;1525.0;450.0;2600.0
Żakowice;1;150.0;150.0;150.0
Świebodzice;1;1799.0;1799.0;1799.0
Łomża;1;23900.0;23900.0;23900.0
Łask;1;2300.0;2300.0;2300.0
Łapanów;1;17900.0;17900.0;17900.0
Złocieniec;1;2099.0;2099.0;2099.0
Zielonka;1;29500.0;29500.0;29500.0
Zielona Góra;1;1599.0;1599.0;1599.0
Załęże;1;69.0;69.0;69.0
Zawiercie;1;60.0;60.0;60.0
Zamłynie;1;29000.0;29000.0;29000.0
Zambrów;1;18900.0;18900.0;18900.0
Włocławek;1;2000.0;2000.0;2000.0
Wyrzysk;1;16900.0;16900.0;16900.0
Witkowo;1;250.0;250.0;250.0
Warka;1;220.0;220.0;220.0
Wadowice;1;100.0;100.0;100.0
Urzędów;1;110.0;110.0;110.0
Toruń;1;26900.0;26900.0;26900.0
Tarnów;1;549.0;549.0;549.0
Słupsk;1;10900.0;10900.0;10900.0
Szczecin;1;23500.0;23500.0;23500.0
Szamocin;1;24900.0;24900.0;24900.0
Sulechów;1;399.0;399.0;399.0
Stawki;1;18000.0;18000.0;18000.0
Stary Gózd;1;100.0;100.0;100.0
Stary Ciepielów;1;200.0;200.0;200.0
Stare Kurowo;1;150.0;150.0;150.0
Skórzewo;1;100.0;100.0;100.0
Skawina;1;110.0;110.0;110.0
Siedlce;1;40.0;40.0;40.0
Rzeszów;1;80.0;80.0;80.0
Rozprza;1;26800.0;26800.0;26800.0
Rawa Mazowiecka;1;28800.0;28800.0;28800.0
Rakoniewice;1;50.0;50.0;50.0
Płońsk;1;34444.0;34444.0;34444.0
Płock;1;34900.0;34900.0;34900.0
Pyrzyce;1;399.0;399.0;399.0
Ptaszków;1;16000.0;16000.0;16000.0
Poraj;1;100.0;100.0;100.0
Piotrków Trybunalski;1;3500.0;3500.0;3500.0
Piekoszów;1;240.0;240.0;240.0
Pawłów;1;170.0;170.0;170.0
Pabianice;1;18900.0;18900.0;18900.0
Ożarów Mazowiecki;1;39900.0;39900.0;39900.0
Ostrowiec Świętokrzyski;1;280.0;280.0;280.0
Osiek;1;28300.0;28300.0;28300.0
Orchowo;1;130.0;130.0;130.0
Olsztyn;1;23600.0;23600.0;23600.0
Oborniki Śląskie;1;29500.0;29500.0;29500.0
Nowy Wiśnicz;1;150.0;150.0;150.0
Nowe Miasto Lubawskie;1;23500.0;23500.0;23500.0
Nowa Iwiczna;1;50.0;50.0;50.0
Niemodlin;1;28999.0;28999.0;28999.0
Nidzica;1;34500.0;34500.0;34500.0
Namysłów;1;1350.0;1350.0;1350.0
Myślibórz;1;150.0;150.0;150.0
Mysłowice;1;40.0;40.0;40.0
Mikluszowice;1;249.0;249.0;249.0
