City;Count;Average;Min;Max
Poznań;13;1876.6923076923076;1099.0;2500.0
Wrocław;6;1574.6666666666667;1350.0;1749.0
Żory;2;1400.0;1400.0;1400.0
Tychy;2;1749.0;1749.0;1749.0
Kielce;2;1840.0;1680.0;2000.0
Gdańsk;2;1599.5;1599.0;1600.0
Bolesławiec;2;1900.0;1900.0;1900.0
Łódź;1;1699.0;1699.0;1699.0
Łask;1;1659.0;1659.0;1659.0
Włocławek;1;1900.0;1900.0;1900.0
Wałbrzych;1;1595.0;1595.0;1595.0
Trzebnica;1;1749.0;1749.0;1749.0
Sokołów Podlaski;1;1700.0;1700.0;1700.0
Przemyśl;1;1999.0;1999.0;1999.0
Oława;1;1749.0;1749.0;1749.0
Młynary;1;1500.0;1500.0;1500.0
Krasnystaw;1;2000.0;2000.0;2000.0
Kraków;1;1799.0;1799.0;1799.0
Kostrzyn nad Odrą;1;1650.0;1650.0;1650.0
Kobierzyce;1;1749.0;1749.0;1749.0
Katowice;1;1800.0;1800.0;1800.0
Kamionka;1;1800.0;1800.0;1800.0
Jastrzębie-Zdrój;1;1700.0;1700.0;1700.0
Jarocin;1;1749.0;1749.0;1749.0
Gorzów Wielkopolski;1;1550.0;1550.0;1550.0
Gorzyce Wielkie;1;2000.0;2000.0;2000.0
Gliwice;1;1700.0;1700.0;1700.0
Ciechanów;1;1399.0;1399.0;1399.0
