Title;Price;City;Link
Nowy Samsung Galaxy S10+ Plus SM-G975F 8/128GB Czarny;1900.0;Bolesławiec;"https://www.olx.pl/oferta/nowy-samsung-galaxy-s10-plus-sm-g975f-8-128gb-czarny-CID99-IDJMI20.html#afb26cc107;promoted"
Samsung Galaxy S10+ PLUS 128GB biały;1400.0;Żory;"https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-bialy-CID99-IDJM7KU.html#afb26cc107;promoted"
SAMSUNG GALAXY S10 PLUS | 128GB | 4 kolory | GWARANCJA 24 msc;1749.0;Tychy;"https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-4-kolory-gwarancja-24-msc-CID99-IDEfNQC.html#afb26cc107;promoted"
SAMSUNG GALAXY S10 PLUS | 128GB | 4 kolory | Gwarancja 24 MSC;1749.0;Wrocław;"https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-4-kolory-gwarancja-24-msc-CID99-IDJ4TFl.html#afb26cc107;promoted"
Samsung Galaxy S10 plus 128gb;1700.0;Gliwice;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-CID99-IDIGRAo.html#afb26cc107
Oryginalny Samsung Galaxy S10+ plus 8/128gb;1799.0;Kraków;https://www.olx.pl/oferta/oryginalny-samsung-galaxy-s10-plus-8-128gb-CID99-IDJOtOy.html#afb26cc107
Samsung Galaxy s10+ PLUS 8/128GB Prism Black -NOWY- Okazja!!! Tanio!!!;1999.0;Przemyśl;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-8-128gb-prism-black-nowy-okazja-tanio-CID99-IDJOeTl.html#afb26cc107
SASMUNG Galaxy S10 Plus / 128GB / Paragon z Play;1550.0;Gorzów Wielkopolski;https://www.olx.pl/oferta/sasmung-galaxy-s10-plus-128gb-paragon-z-play-CID99-IDJBLtF.html#afb26cc107
Samsung Galaxy s10 plus + 128gb;1500.0;Młynary;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-CID99-IDJNFv6.html#afb26cc107
Samsung Galaxy s10 plus + 128gb;1450.0;Poznań;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-CID99-IDJBZtE.html#afb26cc107
Samsung Galaxy S10+ plus 128/8 GB;1350.0;Wrocław;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128-8-gb-CID99-IDJlbYp.html#afb26cc107
Samsung Galaxy S10 + plus 8/128 GB Prism White Nowy;2000.0;Kielce;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-8-128-gb-prism-white-nowy-CID99-IDJMtyc.html#afb26cc107
Samsung Galaxy S10 plus 128GB;1400.0;Wrocław;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-CID99-IDJMkuT.html#afb26cc107
Samsung Galaxy s10 plus 128gb czarny;2000.0;Gorzyce Wielkie;https://www.olx.pl/oferta/samsung-galaxy-s10-plus-128gb-czarny-CID99-IDGy3To.html#afb26cc107
