City;Count;Average;Min;Max
Warszawa;49;2357.101836734694;18.0;5048.0
Łódź;38;2636.3947368421054;29.0;4599.0
Kraków;18;2506.722222222222;20.0;4249.0
Gdańsk;13;781.2307692307693;30.0;4399.0
Wrocław;10;1657.9;25.0;4900.0
Szczecin;10;3011.5;79.0;5400.0
Poznań;9;3089.222222222222;59.0;4500.0
Pruszcz Gdański;7;3502.8571428571427;120.0;4700.0
Tarnów;5;3750.0;3750.0;3750.0
Wałbrzych;4;4192.25;3895.0;4900.0
Rzeszów;4;2081.25;5.0;4250.0
Olsztyn;4;2093.5;35.0;4300.0
Nowy Sącz;4;37.5;15.0;45.0
Moryń;4;4000.0;4000.0;4000.0
Białystok;4;29.0;16.0;50.0
Sosnowiec;3;2379.3333333333335;239.0;3800.0
Oświęcim;3;25.0;25.0;25.0
Koszalin;3;1687.6666666666667;4.0;5000.0
Katowice;3;1999.6666666666667;199.0;4800.0
Dąbrowa Górnicza;3;2007.6666666666667;25.0;2999.0
Zgorzelec;2;2785.0;70.0;5500.0
Zawady;2;17.49;9.99;24.99
Sławno;2;4249.0;3899.0;4599.0
Lublin;2;4449.5;4099.0;4800.0
Kielce;2;4325.0;4150.0;4500.0
Gdynia;2;2179.5;60.0;4299.0
Częstochowa;2;4424.5;4399.0;4450.0
Żukowo;1;80.0;80.0;80.0
Żory;1;40.0;40.0;40.0
Świdwin;1;4200.0;4200.0;4200.0
Świdnica;1;3949.0;3949.0;3949.0
Łebunia;1;5500.0;5500.0;5500.0
Zielona Góra;1;2499.0;2499.0;2499.0
Zator;1;4199.0;4199.0;4199.0
Zamość;1;4199.0;4199.0;4199.0
Wysoka;1;4200.0;4200.0;4200.0
Wronki;1;30.0;30.0;30.0
Wojkowice;1;12.0;12.0;12.0
Wadowice;1;20.0;20.0;20.0
Tychy;1;35.0;35.0;35.0
Toruń;1;4900.0;4900.0;4900.0
Sulechów;1;4300.0;4300.0;4300.0
Stępocice;1;3800.0;3800.0;3800.0
Stalowa Wola;1;4399.0;4399.0;4399.0
Skierniewice;1;20.0;20.0;20.0
Skawina;1;4070.0;4070.0;4070.0
Rudolfowo;1;120.0;120.0;120.0
Radom;1;3999.0;3999.0;3999.0
Pajęczno;1;3800.0;3800.0;3800.0
Ostrów Wielkopolski;1;4399.0;4399.0;4399.0
Mysłowice;1;4200.0;4200.0;4200.0
Mińsk Mazowiecki;1;4099.0;4099.0;4099.0
Międzyrzecz;1;4700.0;4700.0;4700.0
Lubin;1;4299.0;4299.0;4299.0
Legnica;1;80.0;80.0;80.0
Legionowo;1;40.0;40.0;40.0
Krosno;1;3999.0;3999.0;3999.0
Kraszewice A;1;3700.0;3700.0;3700.0
Kikół;1;70.0;70.0;70.0
Kaliska;1;2299.0;2299.0;2299.0
Góra Kalwaria;1;149.0;149.0;149.0
Grójec;1;40.0;40.0;40.0
Golina;1;3800.0;3800.0;3800.0
Gogolin;1;150.0;150.0;150.0
Gliwice;1;100.0;100.0;100.0
Dębno;1;3999.0;3999.0;3999.0
Czarna Białostocka;1;4500.0;4500.0;4500.0
Ciechocinek;1;5200.0;5200.0;5200.0
Chorzów;1;99.0;99.0;99.0
Chojnice;1;4899.0;4899.0;4899.0
Bytom;1;40.0;40.0;40.0
Bydgoszcz;1;119.0;119.0;119.0
Brzeg;1;3900.0;3900.0;3900.0
Bielsko-Biała;1;70.0;70.0;70.0
Biała Podlaska;1;100.0;100.0;100.0
Bełchatów;1;5200.0;5200.0;5200.0
