City;Count;Average;Min;Max
Warszawa;3;128.33333333333334;85.0;180.0
Koszalin;2;140.0;140.0;140.0
Włoszakowice;1;100.0;100.0;100.0
Stęszew;1;130.0;130.0;130.0
Sieraków;1;80.0;80.0;80.0
Plewiska;1;160.0;160.0;160.0
Pleszew;1;120.0;120.0;120.0
Ostróda;1;90.0;90.0;90.0
Ostrołęka;1;90.0;90.0;90.0
Opacz Kolonia;1;120.0;120.0;120.0
Olsztyn;1;99.0;99.0;99.0
Leszno;1;70.0;70.0;70.0
Kryry;1;30.0;30.0;30.0
Kraków;1;200.0;200.0;200.0
Kalisz;1;50.0;50.0;50.0
Ciechanów;1;60.0;60.0;60.0
Białystok;1;90.0;90.0;90.0
Besiekierz Rudny;1;105.0;105.0;105.0
