City;Count;Average;Min;Max
Warszawa;10;44.7;20.0;77.0
Wrocław;3;40.0;30.0;50.0
Kraków;3;39.333333333333336;30.0;50.0
Zabrze;2;59.5;50.0;69.0
Gdańsk;2;77.5;75.0;80.0
Świętochłowice;1;80.0;80.0;80.0
Łódź;1;60.0;60.0;60.0
Ząbki;1;30.0;30.0;30.0
Zielona Góra;1;35.0;35.0;35.0
Szczecin;1;40.0;40.0;40.0
Suwałki;1;45.0;45.0;45.0
Piaseczno;1;49.0;49.0;49.0
Pabianice;1;50.0;50.0;50.0
Opole;1;70.0;70.0;70.0
Muszyna;1;80.0;80.0;80.0
Milanówek;1;50.0;50.0;50.0
Konopiska;1;40.0;40.0;40.0
Knurów;1;35.0;35.0;35.0
Grudziądz;1;45.0;45.0;45.0
Częstochowa;1;45.0;45.0;45.0
Czeladź;1;15.0;15.0;15.0
Bielsko-Biała;1;50.0;50.0;50.0
