City;Count;Average;Min;Max
Warszawa;16;969.25;797.0;1200.0
Łódź;8;832.875;799.0;949.0
Kraków;7;1109.2857142857142;900.0;1299.0
Lublin;6;879.5;150.0;1490.0
Szczecin;5;775.4;430.0;1459.0
Tomaszów Lubelski;4;550.0;550.0;550.0
Bytom;4;599.0;599.0;599.0
Wrocław;3;916.6666666666666;800.0;1050.0
Poznań;3;802.6666666666666;739.0;900.0
Koszalin;3;1043.0;430.0;1699.0
Zamość;2;1249.5;1150.0;1349.0
Sucha Beskidzka;2;954.0;819.0;1089.0
Sosnowiec;2;724.0;449.0;999.0
Piwoda;2;1150.0;1150.0;1150.0
Lubin;2;1189.0;1179.0;1199.0
Gdańsk;2;737.0;315.0;1159.0
Częstochowa;2;847.5;800.0;895.0
Bydgoszcz;2;854.5;849.0;860.0
Żychlin;1;1050.0;1050.0;1050.0
Żory;1;1199.0;1199.0;1199.0
Świdnica;1;865.0;865.0;865.0
Łabiszyn;1;1099.0;1099.0;1099.0
Zabrze;1;250.0;250.0;250.0
Wilczyce;1;490.0;490.0;490.0
Ustroń;1;1200.0;1200.0;1200.0
Turek;1;1090.0;1090.0;1090.0
Tarnów;1;799.0;799.0;799.0
Słubice;1;600.0;600.0;600.0
Syców;1;489.0;489.0;489.0
Strzelce Opolskie;1;710.0;710.0;710.0
Stoczek Łukowski;1;1500.0;1500.0;1500.0
Stargard;1;900.0;900.0;900.0
Starachowice;1;690.0;690.0;690.0
Sokołów Podlaski;1;230.0;230.0;230.0
Rybnik;1;1099.0;1099.0;1099.0
Płock;1;650.0;650.0;650.0
Piotrków Trybunalski;1;860.0;860.0;860.0
Piastów;1;580.0;580.0;580.0
Pawłowice;1;759.0;759.0;759.0
Ostrów Wielkopolski;1;999.0;999.0;999.0
Orzesze;1;1265.0;1265.0;1265.0
Olkusz;1;950.0;950.0;950.0
Nowy Tomyśl;1;999.0;999.0;999.0
Nowy Dwór Mazowiecki;1;1000.0;1000.0;1000.0
Nakło nad Notecią;1;860.0;860.0;860.0
Mińsk Mazowiecki;1;1150.0;1150.0;1150.0
Marki;1;900.0;900.0;900.0
Lwówek Śląski;1;480.0;480.0;480.0
Lubraniec;1;300.0;300.0;300.0
Leszno;1;400.0;400.0;400.0
Krosno;1;1260.0;1260.0;1260.0
Kołobrzeg;1;360.0;360.0;360.0
Konstantynów Łódzki;1;550.0;550.0;550.0
Kobylin;1;1100.0;1100.0;1100.0
Katowice;1;1049.0;1049.0;1049.0
Kamienna Góra;1;700.0;700.0;700.0
Jaworzno;1;1199.0;1199.0;1199.0
Jastrzębie-Zdrój;1;930.0;930.0;930.0
Jarocin;1;800.0;800.0;800.0
Grudziądz;1;820.0;820.0;820.0
Ełk;1;1350.0;1350.0;1350.0
Dębica;1;999.0;999.0;999.0
Dzierżoniów;1;799.0;799.0;799.0
Czarnylas;1;1200.0;1200.0;1200.0
Cisna;1;985.0;985.0;985.0
Cieszyn;1;1900.0;1900.0;1900.0
Chichy;1;1300.0;1300.0;1300.0
Chełm;1;700.0;700.0;700.0
Cedzyna;1;730.0;730.0;730.0
Bolesławiec;1;699.0;699.0;699.0
Bielsko-Biała;1;540.0;540.0;540.0
Białobrzegi;1;900.0;900.0;900.0
Adamów;1;500.0;500.0;500.0
