Title;Price;City;Link
SAMSUNG Galaxy A7 2018: 64GB/4GB 8x2,2GHz + Xiaomi AirDots 2 + GRATISY;550.0;Tomaszów Lubelski;"https://www.olx.pl/oferta/samsung-galaxy-a7-2018-64gb-4gb-8x2-2ghz-xiaomi-airdots-2-gratisy-CID99-IDJJX2B.html#6846921c37;promoted"
NOWY Xiaomi Redmi Note 9 3/64GB NFC 4x ap. 48Mpix ekr 6.6 GRY Andr. 10;599.0;Bytom;"https://www.olx.pl/oferta/nowy-xiaomi-redmi-note-9-3-64gb-nfc-4x-ap-48mpix-ekr-6-6-gry-andr-10-CID99-IDJdpoq.html#6846921c37;promoted"
Xiaomi Redmi Note 10 4/64gb Green/Gray/WHITE  Piotrkowska 136 w bramie;799.0;Łódź;"https://www.olx.pl/oferta/xiaomi-redmi-note-10-4-64gb-green-gray-white-piotrkowska-136-w-bramie-CID99-IDJAFKv.html#6846921c37;promoted"
Xiaomi Redmi 8 4/64GB Black Gwarancja 3xEtui,Szkło;489.0;Syców;https://www.olx.pl/oferta/xiaomi-redmi-8-4-64gb-black-gwarancja-3xetui-szklo-CID99-IDIhC87.html#6846921c37
XIAOMI REDMI NOTE 10 Gray/Green  4GB/64Gb Manufaktura telakces.com 799;799.0;Łódź;https://www.olx.pl/oferta/xiaomi-redmi-note-10-gray-green-4gb-64gb-manufaktura-telakces-com-799-CID99-IDJOB53.html#6846921c37
XIAOMI Redmi Note 10 LTE 4/64 GB Telakces.com Galeria Łódzka;799.0;Łódź;https://www.olx.pl/oferta/xiaomi-redmi-note-10-lte-4-64-gb-telakces-com-galeria-lodzka-CID99-IDJOACM.html#6846921c37
Xiaomi Redmi 4x, dual SIM, 4 GB RAM, 64 GB ROM, TWRP, unlock, MIUI 11;430.0;Szczecin;https://www.olx.pl/oferta/xiaomi-redmi-4x-dual-sim-4-gb-ram-64-gb-rom-twrp-unlock-miui-11-CID99-IDI5KUv.html#6846921c37
Xiaomi Mi 10T Lite Gray/Blue 64GB i 128GB Kolory KATOWICE;1049.0;Katowice;https://www.olx.pl/oferta/xiaomi-mi-10t-lite-gray-blue-64gb-i-128gb-kolory-katowice-CID99-IDHIOg0.html#6846921c37
Xiaomi Redmi Note 10 4/64GB Pebble White, nowy gw. 2 lata, P-ń;739.0;Poznań;https://www.olx.pl/oferta/xiaomi-redmi-note-10-4-64gb-pebble-white-nowy-gw-2-lata-p-n-CID99-IDJCjWR.html#6846921c37
Smartfon Xiaomi Redmi Note 10 4GB/64GB Grey/Green/White RATY;819.0;Sucha Beskidzka;https://www.olx.pl/oferta/smartfon-xiaomi-redmi-note-10-4gb-64gb-grey-green-white-raty-CID99-IDJOq3O.html#6846921c37
Xiaomi Mi Note 10 Lite Black, 64 GB, gwarancja, zafoliowane pudełeczko;1349.0;Zamość;https://www.olx.pl/oferta/xiaomi-mi-note-10-lite-black-64-gb-gwarancja-zafoliowane-pudeleczko-CID99-IDHBnYT.html#6846921c37
Xiaomi Mi 9 6/64GB 8x2,3GHz Snapdragon;600.0;Słubice;https://www.olx.pl/oferta/xiaomi-mi-9-6-64gb-8x2-3ghz-snapdragon-CID99-IDJOjHA.html#6846921c37
Xiaomi Mi Note 10 Lite 64GB 6GB RAM - Jak nowy ! Lombard Dębica;999.0;Dębica;https://www.olx.pl/oferta/xiaomi-mi-note-10-lite-64gb-6gb-ram-jak-nowy-lombard-debica-CID99-IDJOdcF.html#6846921c37
Xiaomi Mi Note 10 Lite Midnight Black 6GB Ram 64GB Rom;1490.0;Lublin;https://www.olx.pl/oferta/xiaomi-mi-note-10-lite-midnight-black-6gb-ram-64gb-rom-CID99-IDJnkWK.html#6846921c37
Smartfon XIAOMI Mi Note 10 Lite 6GB/64GB Czarny;1050.0;Żychlin;https://www.olx.pl/oferta/smartfon-xiaomi-mi-note-10-lite-6gb-64gb-czarny-CID99-IDIKKQJ.html#6846921c37
Smartfon Xiaomi Mi 10 Lite 5G white biały 64gb;1060.0;Kraków;https://www.olx.pl/oferta/smartfon-xiaomi-mi-10-lite-5g-white-bialy-64gb-CID99-IDGT9Ie.html#6846921c37
Xiaomi Mi Note 10 Lite 6/64 GB black NOWY ! PLOMBY;1159.0;Gdańsk;https://www.olx.pl/oferta/xiaomi-mi-note-10-lite-6-64-gb-black-nowy-plomby-CID99-IDIUZSs.html#6846921c37
Xiaomi Redmi Note 4x 4/64 GB;300.0;Lubraniec;https://www.olx.pl/oferta/xiaomi-redmi-note-4x-4-64-gb-CID99-IDJjznn.html#6846921c37
Telefon Smartphone Xiaomi Mi MAX 2 - 4GB/64GB DUŻY EKRAN + 2x ETUI;430.0;Koszalin;https://www.olx.pl/oferta/telefon-smartphone-xiaomi-mi-max-2-4gb-64gb-duzy-ekran-2x-etui-CID99-IDJNATs.html#6846921c37
Xiaomi MI 10 LITE 5G 64GB Blue 1160zł ZŁOTE Wawa;1159.0;Warszawa;https://www.olx.pl/oferta/xiaomi-mi-10-lite-5g-64gb-blue-1160zl-zlote-wawa-CID99-IDGUV4g.html#6846921c37
Xiaomi Redmi Note 10 Amoled 4/64GB 5000mAh Gw24 Wys24 kolory Nowość;759.0;Pawłowice;https://www.olx.pl/oferta/xiaomi-redmi-note-10-amoled-4-64gb-5000mah-gw24-wys24-kolory-nowosc-CID99-IDJmjNB.html#6846921c37
Xiaomi mi note 10 lite 6/64 GB jak nowy .;950.0;Lublin;https://www.olx.pl/oferta/xiaomi-mi-note-10-lite-6-64-gb-jak-nowy-CID99-IDJkrcT.html#6846921c37
XIAOMI REDMI NOTE 8 PRO,6/64gb,Zielony, Gwarancja 10 M-CY;580.0;Piastów;https://www.olx.pl/oferta/xiaomi-redmi-note-8-pro-6-64gb-zielony-gwarancja-10-m-cy-CID99-IDJNhq5.html#6846921c37
