City;Count;Average;Min;Max
£ebunia;1;5500.0;5500.0;5500.0
Zgorzelec;2;2785.0;70.0;5500.0
Poznañ;10;3330.3;59.0;5500.0
Gdañsk;16;1515.6875;30.0;5499.0
Szczecin;10;3011.5;79.0;5400.0
Ciechocinek;1;5200.0;5200.0;5200.0
Be³chatów;1;5200.0;5200.0;5200.0
Wa³brzych;3;4358.0;3979.0;5100.0
Warszawa;50;2436.52;18.0;5048.0
Wroc³aw;10;1657.9;25.0;4900.0
Toruñ;5;4900.0;4900.0;4900.0
Chojnice;1;4899.0;4899.0;4899.0
Lublin;2;4449.5;4099.0;4800.0
Katowice;3;1999.6666666666667;199.0;4800.0
Pruszcz Gdañski;7;3510.0;120.0;4700.0
Miêdzyrzecz;1;4700.0;4700.0;4700.0
£ódŸ;32;2362.09375;29.0;4599.0
Kielce;2;4350.0;4200.0;4500.0
Czarna Bia³ostocka;1;4500.0;4500.0;4500.0
Czêstochowa;2;4424.5;4399.0;4450.0
Miñsk Mazowiecki;2;4275.0;4150.0;4400.0
Stalowa Wola;1;4399.0;4399.0;4399.0
Sulechów;1;4300.0;4300.0;4300.0
Olsztyn;4;2093.5;35.0;4300.0
Lubin;1;4299.0;4299.0;4299.0
Gdynia;2;2189.5;80.0;4299.0
Rzeszów;4;2081.25;5.0;4250.0
Kraków;13;2500.4615384615386;25.0;4249.0
Œwidwin;1;4200.0;4200.0;4200.0
Wysoka;1;4200.0;4200.0;4200.0
Mys³owice;3;4200.0;4200.0;4200.0
Zator;1;4199.0;4199.0;4199.0
Zamoœæ;1;4199.0;4199.0;4199.0
Kalisz;5;4090.0;4090.0;4090.0
Skawina;1;4070.0;4070.0;4070.0
Wrzeœnia;1;4004.0;4004.0;4004.0
Moryñ;2;4000.0;4000.0;4000.0
Radom;1;3999.0;3999.0;3999.0
Krosno;1;3999.0;3999.0;3999.0
Dêbno;1;3999.0;3999.0;3999.0
Œwidnica;1;3949.0;3949.0;3949.0
£om¿a;1;3900.0;3900.0;3900.0
Tarnów;1;3900.0;3900.0;3900.0
Brzeg;1;3900.0;3900.0;3900.0
Stêpocice;1;3800.0;3800.0;3800.0
Sosnowiec;3;2032.6666666666667;239.0;3800.0
Pajêczno;1;3800.0;3800.0;3800.0
Golina;1;3800.0;3800.0;3800.0
Kraszewice A;1;3650.0;3650.0;3650.0
D¹browa Górnicza;2;1512.0;25.0;2999.0
Zielona Góra;1;2499.0;2499.0;2499.0
Kaliska;1;2399.0;2399.0;2399.0
Gogolin;1;150.0;150.0;150.0
Góra Kalwaria;1;149.0;149.0;149.0
Rudolfowo;1;120.0;120.0;120.0
Bydgoszcz;1;119.0;119.0;119.0
Gliwice;1;100.0;100.0;100.0
Bia³a Podlaska;1;100.0;100.0;100.0
Chorzów;1;99.0;99.0;99.0
¯ukowo;1;80.0;80.0;80.0
Legnica;1;80.0;80.0;80.0
Kikó³;1;70.0;70.0;70.0
Bielsko-Bia³a;1;70.0;70.0;70.0
Koszalin;2;31.5;4.0;59.0
Bia³ystok;4;29.0;16.0;50.0
Nowy S¹cz;4;37.5;15.0;45.0
Bytom;1;45.0;45.0;45.0
¯ory;1;40.0;40.0;40.0
Legionowo;1;40.0;40.0;40.0
Grójec;1;40.0;40.0;40.0
Tychy;1;35.0;35.0;35.0
Wronki;1;30.0;30.0;30.0
Oœwiêcim;3;25.0;25.0;25.0
Wadowice;1;20.0;20.0;20.0
Skierniewice;1;20.0;20.0;20.0
Wojkowice;1;12.0;12.0;12.0
