City;Count;Average;Min;Max
Warszawa;67;719.7268656716418;5.0;2799.0
Łódź;23;305.4782608695652;5.0;1500.0
Poznań;23;1111.5652173913043;5.0;2850.0
Kraków;22;424.0;10.0;1099.0
Wrocław;20;499.6;5.0;1099.0
Kielce;13;896.0;10.0;1339.0
Gdańsk;12;524.0408333333334;5.99;1250.0
Lublin;10;875.0;680.0;1200.0
Tychy;7;762.1428571428571;30.0;1099.0
Szczecin;7;807.1428571428571;550.0;1050.0
Katowice;7;675.5714285714286;15.0;1100.0
Toruń;6;683.1666666666666;15.0;1150.0
Rzeszów;6;628.8333333333334;10.0;1199.0
Gdynia;6;708.0;50.0;999.0
Tarnowskie Góry;5;400.8;10.0;849.0
Olsztyn;5;523.8;10.0;959.0
Gorzów Wielkopolski;5;341.0;15.0;850.0
Wałbrzych;4;1185.0;750.0;1800.0
Siedlce;4;567.5;350.0;850.0
Rybnik;4;480.75;10.0;1099.0
Mińsk Mazowiecki;4;360.75;10.0;1400.0
Lębork;4;797.0;290.0;1049.0
Legnica;4;478.5;25.0;750.0
Gliwice;4;768.75;325.0;1000.0
Bydgoszcz;4;677.25;19.0;990.0
Bielsko-Biała;4;192.75;19.0;660.0
Włocławek;3;846.6666666666666;700.0;950.0
Wojkowice;3;6.826666666666667;6.74;7.0
Trzebinia;3;303.0;20.0;850.0
Tczew;3;73.33333333333333;30.0;150.0
Słupsk;3;618.0;4.0;1100.0
Szczecinek;3;619.6666666666666;59.0;1000.0
Oława;3;1016.6666666666666;600.0;1500.0
Ostrów Wielkopolski;3;616.6633333333333;500.0;800.0
Mysłowice;3;13.666666666666666;12.0;17.0
Koszalin;3;900.0;700.0;1300.0
Konin;3;673.3333333333334;50.0;1100.0
Dąbrowa Górnicza;3;658.3333333333334;55.0;970.0
Bytom;3;1126.3333333333333;750.0;1699.0
Białystok;3;363.3333333333333;10.0;550.0
Świerklaniec;2;999.0;999.0;999.0
Łosice;2;750.0;750.0;750.0
Zielona Góra;2;514.0;78.0;950.0
Zgorzelec;2;699.5;500.0;899.0
Zborczyce;2;549.0;549.0;549.0
Zamienie;2;1050.0;1000.0;1100.0
Słubice;2;974.5;849.0;1100.0
Szamotuły;2;924.5;750.0;1099.0
Suwałki;2;845.0;800.0;890.0
Suchy Las;2;3149.0;2999.0;3299.0
Starogard Gdański;2;799.5;600.0;999.0
Starachowice;2;1249.995;999.99;1500.0
Sosnowiec;2;419.5;239.0;600.0
Rumia;2;445.0;20.0;870.0
Radomsko;2;815.0;700.0;930.0
Radom;2;1144.5;1099.0;1190.0
Płock;2;1025.0;850.0;1200.0
Pułtusk;2;799.0;799.0;799.0
Puławy;2;490.0;80.0;900.0
Przemyśl;2;661.0;22.0;1300.0
Przasnysz;2;575.0;150.0;1000.0
Piekary Śląskie;2;775.0;700.0;850.0
Ostrołęka;2;775.0;700.0;850.0
Nowy Sącz;2;555.0;11.0;1099.0
Nikutowo;2;750.0;500.0;1000.0
Mielec;2;975.0;900.0;1050.0
Marki;2;602.5;455.0;750.0
Marcinkowice;2;13.0;13.0;13.0
Malbork;2;475.0;50.0;900.0
Leszno;2;949.5;899.0;1000.0
Kwidzyn;2;42.5;35.0;50.0
Jelenia Góra;2;391.0;12.0;770.0
Jasło;2;684.5;620.0;749.0
Jastrzębie-Zdrój;2;1149.0;1099.0;1199.0
Elbląg;2;59.5;40.0;79.0
Działdowo;2;784.5;69.0;1500.0
Częstochowa;2;364.0;8.0;720.0
Czernikowo;2;900.0;900.0;900.0
Czechowice-Dziedzice;2;16.5;15.0;18.0
Chorzów;2;725.0;650.0;800.0
Żywiec;1;830.0;830.0;830.0
Żyrardów;1;895.0;895.0;895.0
Żory;1;1100.0;1100.0;1100.0
Żmigród;1;900.0;900.0;900.0
