Title;Price;City;Link
Samsung S9 64GB + Etui + Akcesoria;600.0;Warszawa;"https://www.olx.pl/oferta/samsung-s9-64gb-etui-akcesoria-CID99-IDJC0Yo.html#f6f958ae4c;promoted"
Samsung Galaxy S9 IDEALNY STAN gwarancja;899.0;Poznań;"https://www.olx.pl/oferta/samsung-galaxy-s9-idealny-stan-gwarancja-CID99-IDJzZxD.html#f6f958ae4c;promoted"
Etui clear view do SAMSUNG S9;50.0;Zduńska Wola;https://www.olx.pl/oferta/etui-clear-view-do-samsung-s9-CID99-IDIUirW.html#f6f958ae4c
Samsung S9 Czarny;900.0;Turek;https://www.olx.pl/oferta/samsung-s9-czarny-CID99-IDJNdCM.html#f6f958ae4c
Samsunga Galaxy S9. Stan bdb.  Sprzedam;750.0;Kraków;https://www.olx.pl/oferta/samsunga-galaxy-s9-stan-bdb-sprzedam-CID99-IDz0L4x.html#f6f958ae4c
Samsung galaxy s9 Duos -stan Idealny! Nowy! Coral Blue;1050.0;Mielec;https://www.olx.pl/oferta/samsung-galaxy-s9-duos-stan-idealny-nowy-coral-blue-CID99-IDHvBQ4.html#f6f958ae4c
Sprzedam etui samsung Galaxy S9;20.0;Kielce;https://www.olx.pl/oferta/sprzedam-etui-samsung-galaxy-s9-CID99-IDI7w9N.html#f6f958ae4c
Ładowarka indukcyjna SAMSUNG do S6, S7, S8, S9, S10, Note, iPhone;160.0;Warszawa;https://www.olx.pl/oferta/ladowarka-indukcyjna-samsung-do-s6-s7-s8-s9-s10-note-iphone-CID99-IDJmR8r.html#f6f958ae4c
Do sprzedania case do samsung Galaxy S9;10.0;Kielce;https://www.olx.pl/oferta/do-sprzedania-case-do-samsung-galaxy-s9-CID99-IDI8sxV.html#f6f958ae4c
Sprzedam case samsung s9;15.0;Kielce;https://www.olx.pl/oferta/sprzedam-case-samsung-s9-CID99-IDI7uLS.html#f6f958ae4c
Samsung S9 używany Wrocław;600.0;Wrocław;https://www.olx.pl/oferta/samsung-s9-uzywany-wroclaw-CID99-IDJuKuV.html#f6f958ae4c
Samsung Galaxy S9 G960F Czarny;900.0;Wołów;https://www.olx.pl/oferta/samsung-galaxy-s9-g960f-czarny-CID99-IDItCbR.html#f6f958ae4c
SAMSUNG Galaxy S9 Midnight Black SM-G960F;800.0;Gdynia;https://www.olx.pl/oferta/samsung-galaxy-s9-midnight-black-sm-g960f-CID99-IDJoOm4.html#f6f958ae4c
